number,date,rating,max
1,,1.5,5
2,,4.5,5
3,,3,5
4,,4,5
5,,4,5
6,,5,5
7,,5,5
8,,4,5
9,,4,5
10,,3,5
11,,2.5,5
12,,4,5
13,,4,5
14,,3,5
15,,3.5,5
16,,4,5
17,,4,5
18,,3.5,5
19,,3.5,5
20,,3.5,5
21,,4,5
22,,3.5,5
23,,4.5,5
24,,2.5,5
25,,1.5,5
26,,4,5
27,,1,5
28,,3.5,5
29,,1.5,5
30,,4,5
31,,4,5
32,,4,5
33,,2.5,5
34,,4,5
35,,4,5
36,,4.5,5
37,,3.5,5
38,,4,5
39,,4,5
40,,4,5
